_ArtistIDpk,ARTIST_nameonlabel,Artist_Last_First,ArtistNameFirst,ArtistNameLast,Artist_yearofbirth,Artist_countryofbirth,Artist_country,Artist_gender,Artist_website,ARTIST_Bio
50,Black Market,,,,,,,,,
56,Bow Gamelan Ensemble,,,,,,,,,
74,Center For Land Use Interpretation,,,,,,,,,
184,Gutai Art Association,,,,,,,,,
208,Hi Performance,,,,,,,,,
300,King Mob,,,,,,,,,
306,l’internationale lettriste,,,,,,,,,
322,Live Art Development Agency,,,,,,,,,
390,Mukhomor (Toadstool) Group,,,,,,,,,
534,The Ashington Miners,,,,,,,,,
536,The Basement Group,,,,,,,,,
1,8gg (Jiang Haiqing and Fu Yu),"8gg, ",,8gg,,China,China,,,"Multimedia duo Jiang Haiqing and Fu Yu, based in Beijing."
860,Francesc Abad,"Abad, Francesc",Francesc,Abad,,,"Spain, Catalan",,,
1564,Marina Abramovi_ and Ulay,Abramovi_ & Ulay,,Abramovi_ & Ulay,,,,,,
344,Marina Abramovi_,"Abramovi_, Marina",Marina,Abramovi_,,,,,,
564,Vito Acconci,"Acconci, Vito",Vito,Acconci,1940,,,,,
308,Lanfranco Aceti,"Aceti, Lanfranco",Lanfranco,Aceti,,,,,,
291,Kathy Acker,"Acker, Kathy",Kathy,Acker,,,,,,
464,Rita Ackermann,"Ackermann, Rita",Rita,Ackermann,,,,,,
1501,Rudolph Ackermann,"Ackermann, Rudolph",Rudolph,Ackermann,1764-1834,,,,,
471,Roger Ackling,"Ackling, Roger",Roger,Ackling,,,,,,
263,John Adams,"Adams, John",John,Adams,,,,,,
890,Mac Adams,"Adams, Mac",Mac,Adams,,,,,,
1447,Peter Adams,"Adams, Peter",Peter,Adams,,,,,,
1427,Peter Addis,"Addis, Peter",Peter,Addis,,,,,,
1261,Cherry Adkins,"Adkins, Cherry",Cherry,Adkins,,,,,,
1376,Nudrat Afza,"Afza, Nudrat",Nudrat,Afza,,,,,,
931,Machiko Agano,"Agano, Machiko",Machiko,Agano,,,Japan,,,
1043,Compte O. Aguado,"Aguado, Compte",Compte,Aguado,1827-1894,France,France,,,
842,Mario Airo',"Airo', Mario",Mario,Airo,,,Italy,,,
463,Rieko Akatsuka,"Akatsuka, Rieko",Rieko,Akatsuka,,,,,,
757,Philip Akkerman,"Akkerman, Philip",Philip,Akkerman,,,,,,
1559,John Akomfrah and Trevor Mathison,"Akomfrah and Mathison, ",,Akomfrah and Mathison,,,,,,
1184,Jean-Michel Alberola,"Alberola, Jean-Michel",Jean-Michel,Alberola,,,France,,,
582,Yuri Albert,"Albert, Yuri",Yuri,Albert,,,,,,
984,Victoria Aldred,"Aldred, Victoria",Victoria,Aldred,,,,,,
778,Edward Allington,"Allington, Edward",Edward,Allington,1951,,,,,
1278,Douglas Allsop,"Allsop, Douglas",Douglas,Allsop,,,,,,
1117,Pauline Allwright,"Allwright, Pauline",Pauline,Allwright,,,,,,
1578,Wilfrid Almendra,"Almendra, Wilfrid",Wilfrid,Almendra,,,,,,
342,Maria Thereza Alves,"Alves, Maria Thereza",Maria Thereza,Alves,,,,,,
404,Nicholas Alvis-Vega,"Alvis-Vega, Nicholas",Nicholas,Alvis-Vega,,,,,,
131,Doa Aly,"Aly, Doa",Doa,Aly,,,,,,
158,Francis Alÿs,"Alÿs, Francis",Francis,Alÿs,,,,,,
688,Robert Amadou,"Amadou, Robert",Robert,Amadou,,,,,,
1542,Lewis Ambler,"Ambler, Lewis",Lewis,Ambler,,,,,,
346,Mark Amerika,"Amerika, Mark",Mark,Amerika,1960,USA,USA,,,
551,Ulf Aminde,"Aminde, Ulf",Ulf,Aminde,,,,,,
68,Carlos Amorales,"Amorales, Carlos",Carlos,Amorales,,,,,,
705,Susan Anderson,"Anderson, Susan",Susan,Anderson,,,,,,
600,Andrew Grassie,"Andrew Grassie, Andrew",Andrew,Andrew Grassie,,,,,,
1068,Leonid Andreyev,"Andreyev, Leonid",Leonid,Andreyev,1871-1919,Russia,Russia,,,
1145,Andy the Furniture Maker,Andy the Furniture Maker,Andy,the Furniture Maker,,,,,,
297,Kenneth Anger,"Anger, Kenneth",Kenneth,Anger,,,,,,
132,Dona Ann McAdams,"Ann McAdams, Dona",Dona ,Ann McAdams,,,,,,
917,Ansesa,Ansesa,,Ansesa,,,"Spain, Catalonia",,,
347,Mark Anstee,"Anstee, Mark",Mark,Anstee,,,,,,
706,Katherine Anteney,"Anteney, Katherine",Katherine,Anteney,,,,,,
423,Paul Antick ,"Antick, Paul",Paul,Antick,,,,,,
1185,Pierre Antoniucci,"Antoniucci, Pierre",Pierre,Antoniucci,,,France,,,
251,Jennifer Anyan,"Anyan, Jennifer",Jennifer,Anyan,,,,,,
1303,Siegfried Anzinger,"Anzinger, Siegfried",Siegfried,Anzinger,1953,Austria,Germany,,,
1531,Dieter Appelt,"Appelt, Dieter",Dieter,Appelt,,,Germany,,,
474,Ron Arad,"Arad, Ron",Ron,Arad,,,,,,
808,Rasheed Araeen,"Araeen, Rasheed",Rasheed,Araeen,1935,Pakistan,UK,,http://www.leftmatrix.com/araeenrashidlist.html,
35,Arman,"Arman, ",,Arman,,,,,,
768,Kenneth Armitage,"Armitage, Kenneth",Kenneth,Armitage,1916,UK,,,,
1519,Keith Arnatt,"Arnatt, Keith",Keith,Arnatt,,,,,,
687,Noël Arnaud,"Arnaud, Noël",Noël,Arnaud,,,,,,
1503,Louis Jules Arnout,"Arnout, Louis",Louis,Arnout,1814-1868,,,,,
1029,Sue Arrowsmith,"Arrowsmith, Sue",Sue,Arrowsmith,1950,UK,UK,,,
606,Art & Language,Art & Language,,Art & Language,,,,,,
1557,Art in Ruins (Hannah Vowles and Glyn Banks),Art in Ruins,Art,Art in Ruins,,,,,,
452,Richard Artschwager,"Artschwager, Richard",Richard,Artschwager,,,,,,
490,Samar Asamoah,"Asamoah, Samar",Samar,Asamoah,,,,,,
417,Oreet Ashery,"Ashery, Oreet",Oreet,Ashery,,,,,,
111,David Askevold,"Askevold, David",David,Askevold,,,,,,
