_ArtworkIDpk,_ArtistIDpk,ART_TITLE,ARTIST_ MAKER _ AUTHOR,DATE_text,DETAILS_label,_ExhIDfk,Exhibition::EXHIBITION TITLE
3872,1559,All That Is Solid,John Akomfrah and Trevor Mathison,2015,"Digital Film 29m:50s, Courtesy the Artists and Smoking Dog Films, London.",2016_10_BRITISH_ART,British Art Show 8
3873,1556,Spirit Is A Bone,Adam Broomberg and Oliver Chanarin,2013,"Glass, paint, C-type prints, each 40x50 cm.",2016_10_BRITISH_ART,British Art Show 8
3874,1222,The Common Sense: Phase 1,Melanie Gilligan,2014-2015,"Video installation. HD video in 5 episodes, each video 5-6 min, colour, sound. Courtesy the artist and Gallery Max Mayer, Dusseldorf.",2016_10_BRITISH_ART,British Art Show 8
3875,1223,"""Our Values Make Us Different"" 3 of 4 (Non-Diegetic Prescriptive): 'Song// The King With/All His Medals/Rides Horseback Toward/The Sacred// Heart Adrift/On The Same Wall/This Is His Real Life// Meaning Can Take But Two DimensionsÕ Rosemarie Waldorp 1999",Will Holder,2016,,2016_10_BRITISH_ART,British Art Show 8
3876,1558,Auditory Learning,Eileen Simpson and Ben White,2015-2016,Multi-part work: Auditory Learning 2016 8 turntables and film. (Off-site exhibited at the Bar Gate).,2016_10_BRITISH_ART,British Art Show 8
3877,1226,The Foundation,Patrick Staff,2015,"Film Installation 30 min. Courtesy the artist. Commissioned by Chisenhale Gallery London, Spike Island Bristol, Institute of Modern Art Brisbane, and Contemporary Art Gallery Vancouver. Co-produced by Chisenhale Gallery and Spike Island.",2016_10_BRITISH_ART,British Art Show 8
3878,1227,A Crack In The Light,Imogen Stidworthy,2013-2014,Film Installation 10m:33s. Courtesy the artist and MattÕs Gallery London.,2016_10_BRITISH_ART,British Art Show 8
3879,1228,The Kipper And The Corpse,Stuart Whipps,2015,"1975 GT Mini, car 127x305x130cm.",2016_10_BRITISH_ART,British Art Show 8
3880,1228,"AMR 311V, Detail 001",Stuart Whipps,2015,Digital Chromogenic Print 150x125cm.,2016_10_BRITISH_ART,British Art Show 8
5469,0,Thanks For Listening,Ahmet …gŸt (with Susan Hiller),2015,"Jukebox with 70 songs. Part of Ahmet …gŸt, Day After Debt. A long-term counter-finance strategy in collaboration with Jubilee Debt Campaign. Co-commissioned by Create and Lafayette Anticipation - Fonds de dotation Familie Moulin, Paris.",2016_10_BRITISH_ART,British Art Show 8
1,473,"Dessin N¡1, 24 Juin",Roland Barthes,1971,26 x 18cm,2016_2_BARTHES/BURGIN,Barthes/Burgin
2,473,"Dessin N¡123, 4 DŽcembre",Roland Barthes,1971,31 x 44cm,2016_2_BARTHES/BURGIN,Barthes/Burgin
3,473,"Dessin N¡133, 5 DŽcembre",Roland Barthes,1971,"26,5 x 36,5 cm",2016_2_BARTHES/BURGIN,Barthes/Burgin
4,473,"Dessin N¡159, 15 DŽcembre",Roland Barthes,1971,21 x 26 cm,2016_2_BARTHES/BURGIN,Barthes/Burgin
5,473,"Dessin N¡218, 26 DŽcembre",Roland Barthes,1971,"16 x 23,5 cm",2016_2_BARTHES/BURGIN,Barthes/Burgin
6,473,"Dessin N¡261, 11 Janvier",Roland Barthes,1971,26 x 37cm,2016_2_BARTHES/BURGIN,Barthes/Burgin
7,473,"Dessin N¡27, 26 Septembre",Roland Barthes,1971,"17,5 x 26 cm",2016_2_BARTHES/BURGIN,Barthes/Burgin
8,473,"Dessin N¡58, 25 Octobre",Roland Barthes,1971,"16 x 22,5 cm",2016_2_BARTHES/BURGIN,Barthes/Burgin
9,473,"Dessin N¡9, 13 Juillet",Roland Barthes,1971,26x18cm,2016_2_BARTHES/BURGIN,Barthes/Burgin
10,473,"Dessin N¡99, 21 Novembre",Roland Barthes,1971,"29 x 43,5 cm",2016_2_BARTHES/BURGIN,Barthes/Burgin
11,473,"Dessin N¡393, 21 Mai",Roland Barthes,1972,"30,5 x 39,5 cm",2016_2_BARTHES/BURGIN,Barthes/Burgin
12,473,"Dessin N¡408, 25 Juin",Roland Barthes,1972,"26 x 22,5 cm",2016_2_BARTHES/BURGIN,Barthes/Burgin
13,473,"Dessin N¡425, 17 Juillet",Roland Barthes,1972,"25,5 x 33 cm",2016_2_BARTHES/BURGIN,Barthes/Burgin
14,473,"Dessin N¡441, 5 Aožt",Roland Barthes,1972,23x30cm,2016_2_BARTHES/BURGIN,Barthes/Burgin
15,473,"Dessin N¡482, 12 Novembre",Roland Barthes,1972,"29,5 x 42 cm",2016_2_BARTHES/BURGIN,Barthes/Burgin
16,562,A Place To Read,Victor Burgin,2010,"Digital image projection (color, silent, loop duration 4Õ05Ó) and wall text",2016_2_BARTHES/BURGIN,Barthes/Burgin
17,562,Prairie,Victor Burgin,2015,Digital projection,2016_2_BARTHES/BURGIN,Barthes/Burgin
18,37,Automamusic,Aura Satz,2008,"Film. Duration: 15 mins. Directed, filmed, and edited by Aura Satz. With support from Film and Video Umbrella. Funded by Arts Council England and Artsadmin",2015_12_THE_TREMBLING,Aura Satz: The Trembling Line
19,37,"Theremin, Featuring Lydia Kavina",Aura Satz,2010,"Film. Duration: 9 mins. Directed, filmed, and edited by Aura Satz. Music by Lydia Kavina",2015_12_THE_TREMBLING,Aura Satz: The Trembling Line
20,37,Onomatopoeic Alphabet,Aura Satz,2010,"Film. Duration: 5.20 mins. Directed, filmed, and edited Aura Satz. Music by Aura Satz, with voice by Mikhail Karikis. Commissioned by VIVID",2015_12_THE_TREMBLING,Aura Satz: The Trembling Line
21,37,Oramics: Atlantis Anew,Aura Satz,2011,"Film. Duration: 7.30 mins. Directed, filmed, and edited by Aura Satz. Voice and Music by Daphne Oram. Co-commissioned by the Science Museum, the London Consortium and Sound and Music.",2015_12_THE_TREMBLING,Aura Satz: The Trembling Line
22,37,Vocal Flame,Aura Satz,2012,"Film. Duration: 9 mins. Directed, filmed, and edited by Aura Satz. Scripted by Aura Satz. Vocals by Jennifer Walshe. Music by Steven Severin. Commissioned by RADAR",2015_12_THE_TREMBLING,Aura Satz: The Trembling Line
23,37,The Trembling Line,Aura Satz,2015,"The film and sound installation. Film. Duration: 10.30 mins. Directed, edited, and filmed by Aura Satz. Music by Leo Grant",2015_12_THE_TREMBLING,Aura Satz: The Trembling Line
24,37,The Absorbing Wall,Aura Satz,2015,C-type prints mounted on aluminium. In memory of Stuart Croft,2015_12_THE_TREMBLING,Aura Satz: The Trembling Line
1660,494,Do You Want Art Here Or What?,Sarah Filmer,2014,,2015_10_NOWHERESVILLE,nowheresville
1661,257,An Answer,Jo Willoughby,2015,,2015_10_NOWHERESVILLE,nowheresville
1662,231,Swimming Southampton,James A. Holliday,2015,,2015_10_NOWHERESVILLE,nowheresville
1663,301,Folly Archive,KINGDOM,2015,,2015_10_NOWHERESVILLE,nowheresville
1664,494,The Ribbon People,Sarah Filmer,2013,,2015_10_NOWHERESVILLE,nowheresville
1665,257,"Near, Nearer, Nearest",Jo Willoughby,2015,,2015_10_NOWHERESVILLE,nowheresville
1666,140,University Pillar,Eliza Hopps,2015,,2015_10_NOWHERESVILLE,nowheresville
1667,140,Southampton Arms-Related Companies Map,Eliza Hopps,2015,,2015_10_NOWHERESVILLE,nowheresville
1668,140,Why,Eliza Hopps,2010,(FREE FOR VISITORS),2015_10_NOWHERESVILLE,nowheresville
1669,140,"Cyclegeography Invite: By Our Legs, Get Around The Arms Places",Eliza Hopps,2010,,2015_10_NOWHERESVILLE,nowheresville
1670,140,Documentation Of Dodgy Situations 1,Eliza Hopps,2015,,2015_10_NOWHERESVILLE,nowheresville
1671,140,Documentation Of Dodgy Situations 2,Eliza Hopps,2015,,2015_10_NOWHERESVILLE,nowheresville
1672,140,Watching Where Your Arse Is,Eliza Hopps,2008,,2015_10_NOWHERESVILLE,nowheresville
5466,301,The Rubbish Edition,KINGDOM,2015,"Artist walk on Saturday 28 November around Marchwood, Southampton.",2015_10_NOWHERESVILLE,nowheresville
25,185,Hurlements En Faveur De Sade,Guy Debord,1952,"film, Courtesy of Alice Debord / Gaumont Video, France, 2013.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
26,29,LÕinternational Lettriste,Anon.,1953,"newspaper No. 3, August 1953.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
27,306,La Guerre De La LibertŽ Doit ætre Faite Avec Colre,lÕinternationale lettriste,1954,"leaflet No. 4, June 1954.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
28,29,Les Lvres Nues No. 6,Anon.,1955,"booklet, September 1955. Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
29,306,Potlatch No. 16Ð26: Bulletin DÕinformation Du Groupe Francais De LÕinternationale Lettriste,lÕinternationale lettriste,1955,"lÕinternationale lettriste, January 1955.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
30,29,ÒCercle OuvertÓ: Le SurrŽalisme Est-Il Mort Ou Vivant?,Anon.,1956,"poster, 18 November, 1956. Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.
",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
31,185,Guy Debord Talk On Surrealism,Guy Debord,1958,"typed manuscript with corrections in pen by Guy Debord and ticket invite.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
32,223,Nouveau ThŽatre DÕopŽrations Dans La Culture,Internationale Situationniste,1958,"poster. Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
33,223,To The Producers Of Modern ArtÉ,Internationale Situationniste,1958,"tickertape print in French, Paris 1958.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
34,29,High School Confidential!,Anon.,1958,lobby card. Loans courtesy Paul Gorman.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
35,36,Modifications,Asger Jorn,1959,"exhibition catalogue, May 1959. Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
36,29,Picturegoer With Disc Parade,Anon.,1959,"magazine, January 17, 1959.  Loans courtesy Paul Gorman.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
37,36,Extreme Orientation,Asger Jorn,1959,"oil on canvas.Slide reproductions of paintings by Asger Jorn: Loans courtesy Museum Jorn, Silkeborg, Denmark",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
38,36,Le Canard InquiŽtant,Asger Jorn,1959,"oil on canvas.Slide reproductions of paintings by Asger Jorn:Loans courtesy Museum Jorn, Silkeborg, Denmark",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
39,36,The Good Shepherd,Asger Jorn,1959,"oil on canvas.Slide reproductions of paintings by Asger Jorn:Loans courtesy Museum Jorn, Silkeborg, Denmark",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
40,15,Desire And Helen,Alexander Trocchi,1962,"book, Imprimerie SIP.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
41,29,Nouvelles DŽfigurations De Asger Jorn,Anon.,1962,"exhibition catalogue, June 1962.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
42,29,Vie Congres De LÕinternationale Situationniste Anvers Du 12 Au 15 Novembre 1962.,Anon.,1962,"poster with Marilyn Monroe design.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
43,36,Ainsi On SÕensor,Asger Jorn,1962,"oil on canvas. Slide reproductions of paintings by Asger Jorn: Loans courtesy Museum Jorn, Silkeborg, Denmark",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
44,36,FraternitŽ Avant Tout,Asger Jorn,1962,"oil on canvas.Slide reproductions of paintings by Asger Jorn:Loans courtesy Museum Jorn, Silkeborg, Denmark",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
45,36,La Dolce Vita Ii,Asger Jorn,1962,"oil on canvas.Slide reproductions of paintings by Asger Jorn:Loans courtesy Museum Jorn, Silkeborg, Denmark",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
46,36,Le Cocuisinier,Asger Jorn,1962,"oil on canvas.Slide reproductions of paintings by Asger Jorn:Loans courtesy Museum Jorn, Silkeborg, Denmark",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
47,29,The Situationist Times: International British Edition,Anon.,1963,"magazine, January 1963. Loans courtesy John Hansard Gallery, Southampton",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
48,185,Contre Le Cinema,Guy Debord,1964,"exhibition catalogue, LÕInstitut Scandinave De Vandalisme Compare.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
